body,title
"Las autoridades kurdosirias anunciaron este domingo que el ejército sirio, ayudado por Rusia, avanzará hacia la frontera con Turquía para “impedir la agresión” de este país, que en su quinto día de ofensiva en el noreste de Siria causó más bajas civiles y la fuga de centenares de miembros del grupo Estado Islámico (EI). La autoproclamada Administración Autónoma del Norte y el Este de Siria dijo que hay un acuerdo con el Gobierno sirio de Bashar al Asad, que no reconoce la administración autónoma de esta región controlada en casi su totalidad por las Fuerzas de Siria Democrática (FSD).",Salida de EE. UU. del norte de Siria podría ser llenada por Rusia
"Otra vez los vándalos. Fue el propio presidente Lenín Moreno quien le dijo a nuestra valiente periodista Andrea Bernal que también las Farc podrían estar detrás de las violentas infiltraciones a las marchas indígenas. Y no cabe duda de que a los indígenas ecuatorianos se les salieron de control las marchas y que fueron infiltradas, y no solo por las Farc, tal como infiltraron los vándalos las marchas estudiantiles en Colombia, hasta el punto de agarrar a piedra a los policías de turno. Indignación extrema producen esas acciones y la total impunidad que las rodea.",
"El empate 0-0 de Colombia con Chile no solo fue un partido de fútbol, pues 12 aficionados, la mayoría seguidores de la selección colombiana, fueron detenidos en la madrugada del domingo en Alicante, tras protagonizar diferentes altercados.",Duro golpe de la policía de España en el partido Colombia vs. Chile
"Millonarios y Santa Fe caminan por la Liga como quien avanza por una delgada cuerda. Millos, hasta hace poco, parecía sólido y clasificado; Santa Fe, hasta hace poco, estaba en crisis y lejos de los ocho. Hoy los dos están con opciones, pero nada seguro, tienen calendarios complejos y más dificultades. Son conscientes de que al menor descuido se pueden ir al precipicio de la eliminación.",Las opciones y las dificultades de Millos y Santa Fe para clasificar
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









",El joven que evitó 'malos pasos' y hoy es imagen del Bienal de Danza
"Philip Kindred Dick se había caído y levantado varias veces. Su paranoia lo conducía en espiral hacia un abismo mientras esperaba un mensaje existencial, una revelación. En 1974, con los ojos cerrados, escuchaba ‘Strawberry Fields Forever’ en su casa de California. Tessa, su mujer, cambiaba los pañales de su bebé, que lloraba sin parar. Dick sintió una luz, una iluminación; alguien le dictaba una información precisa: el pequeño tenía una hernia inguinal derecha estrangulada. Los análisis no habían detectado nada, pero en el hospital el pediatra confirmó el diagnóstico y Christopher Dick fue operado. ",La urgente vigencia de un autor de culto
"Las autoridades confirmaron que gracias a un trabajo artículado entre el Ejército Nacional, la Policía, la Fuerza Aérea y la Fiscalía los tres funcionarios de la empresa Coninfra fueron  liberados y trasladados en helicóptero hasta Medellín.","Liberan a los tres contratistas secuestrados en Ituango, Antioquia"
"En un país como el nuestro, donde, por desgracia, la niñez y la adolescencia son acechadas por diversos peligros, y son presa de caza de numerosos delincuentes, cada preocupación, cada esfuerzo, cada llamado a tomar conciencia –y acciones, sobre todo– para defender a los menores y proteger sus derechos, es de suma trascendencia. ",
"Una de las principales preocupaciones de la Misión de Verificación de Naciones Unidas en Colombia son los asesinatos de los desmovilizados de las Farc.Así quedó en evidencia en el informe trimestral presentado la semana pasada ante el Consejo de Seguridad de la ONU. Para Carlos Ruiz Massieu, jefe de la Misión, si continúan los homicidios al mismo ritmo que se vienen presentando, la cifra de este año puede superar la del anterior. Sin embargo, reconoce los esfuerzos del Gobierno para evitar que esto suceda.",Homicidios de ex-Farc de este año podrían superar los del 2018: ONU
"Cuatro proyectos de negocios que avanzan en las regiones ofrecen lecciones sobre cómo acercar a los productores al crédito, vincular excombatientes -superando las prevenciones-, o apoyar la tecnificación del campo.Agricapital, Palmiagro, La Cuchilla de San Juan y Mundo Maderas fueron reconocidos con los premios Emprender Paz, iniciativa que desde el 2008 respaldan la Fundación Social, la embajada de Suecia y la Fundación Konrad Adenauer.",4 negocios en agro que dan lecciones de paz y pujanza
"Desde que Colombia es patria, quienes hemos crecido aquí lo hemos hecho entre una guerra y otra, o también hemos coincidido con los tiempos violentos, en medio de conflictos armados o como quiera que se le llame al hecho de matarnos unos a otros, con razón o sin ella.","El amor, otro sobreviviente del conflicto"
"La película colombiana ‘Monos’ sigue con su racha de premios en festivales internacionales y no deja de llamar la atención entre la crítica y el público de otras latitudes.Una tendencia que se reforzó gracias al reciente galardón que recibió en la categoría de mejor película en el Festival de Cine de Londres (conocido como el BFI London Film Festival), tras competir con otras nueve producciones internacionales.",'Monos' gana premio a mejor película en Festival de Cine de Londres
"Sin tener boca, el planeta habla cada vez más fuerte y claro. Lo hace por medio de los glaciares, que ponen ante nuestros ojos los síntomas de la fiebre que castiga a nuestro mundo. Las montañas, con las cada vez más altas temperaturas, empiezan a ‘sudar’. La Tierra avisa que estamos en un punto en el que, tal y como lo dice la ONU, “si no tomamos acciones inmediatas, no habrá vuelta atrás”. ","Se acerca una era sin glaciares, cada vez se derriten más rápido"
"Saber detectar y conocer los síntomas de enfermedades que pueden poner en riesgo la vida, es fundamental. Para lograrlo, es importante capacitarse sobre el tema, y entender de qué manera se debe actuar, cuando estos se presentan. Un ejemplo de ello, es el ataque cerebrovascular, el cual se entiende por definición como “el daño de la circulación al sistema nervioso y al cerebro. Cuando esto ocurre, puede suceder o porque se ocluye una arteria o porque se rompe. Lo que es más común y de gran importancia social, es cuando se ocluye. El tejido se queda sin circulación y se infarta; una arteria se tapa y el tejido que debía recibir sangre de esa arteria, se infarta” explica el doctor Mario Muñoz Collazos, jefe de neurología de la Clínica Marly.",¿Qué tanto sabe sobre el ataque cerebrovascular?
"Las peticiones de la Asociación de Futbolistas Profesionales de Colombia (Acolfutpro) le pusieron los pelos de punta a la Dimayor, y terminarán poniéndoselos a la Federación de Fútbol entera.",Meluk le cuenta... (El derecho legítimo a ser escuchados)
"Desde 1971, la Fundación Universitaria Juan N. Corpas ha hecho de la farmacología vegetal una de las líneas fundamentales de su trabajo y, gracias a ésta, han podido desarrollar fórmulas magistrales a partir de productos de extracción natural. Le contamos en qué consisten estas fórmulas, en cuáles patologías aplica el uso de plantas medicinales y qué recomendaciones debe seguir un paciente que quiera comenzar el tratamiento.",Fórmulas magistrales: tratamientos diseñados para usted
"La presencia de metales pesados como el mercurio y el cadmio, y de rastros de sustancias químicas provenientes de plaguicidas, son, entre otras, las principales causas de contaminación de nuestro mar Caribe y una muestra más de los efectos negativos que tienen las actividades humanas en los recursos hídricos.",Hallan altas concentraciones de cadmio en ostras del Caribe
"





Obras públicas

01:00 a.m. 




                            Las obras prometidas que los alcaldes dejaron pendientes
                        


Recordamos algunas grandes promesas de los actuales mandatarios y le c ...












Liberaciones de secu...

07:31 p.m. 




                            Liberan a los tres contratistas secuestrados en Ituango, Antioquia
                        


Autoridades anunciaron recompensa por cabecillas del frente residual 1 ...














Accidente

07:27 p.m. 




                            Susto de un conductor, luego de que su carro se hundió en lago de Cali
                        












Elecciones 2019

05:07 p.m. 




                            Queman carro de candidato de la U a la alcaldía de El Zulia
                        












Cartagena

03:38 p.m. 




                            El Rey de los picó celebra 35 años de carrera artística en Cartagena
                        









","
El ‘top’ de las ciudades con más multimillonarios en el mundo en 2019
"
